구분(1),구분(2),구분(3),구분(4),위치,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05,2025.05
구분(1),구분(2),구분(3),구분(4),위치,수온 (℃ ),수소이온농도 (pH ),용존산소 DO (mg/L),생물화학적산소요구량 BOD (mg/L),화학적산소요구량 COD (mg/L),부유물질 SS (mg/L),전기전도도 EC (μS/cm),총질소 T-N (mg/L),용존총질소 DTN (mg/L),질산성질소 NO₃-N (mg/L),암모니아성 질소 NH₃-N (mg/L),총인 T-P (mg/L),용존총인 DTP (mg/L),인산염 인 PO₄-P (mg/L),클로로필a Chlorophyll-a (mg/㎥),총유기탄소 TOC (mg/L),총대장균군 (총대장균군수/100㎖),분원성대장균군 (분원성대장균군수/100㎖),안티몬 (mg/L),페놀 Phenol (mg/L),카드뮴 Cd (mg/L),시안 CN (mg/L),납 Pb (mg/L),6가크롬 Cr6+ (mg/L),비소 As (mg/L),수은 Hg (mg/L),음이온계면활성제 ABS (mg/L),수온 (℃ ),수소이온농도 (pH ),용존산소 DO (mg/L),생물화학적산소요구량 BOD (mg/L),화학적산소요구량 COD (mg/L),부유물질 SS (mg/L),전기전도도 EC (μS/cm),총질소 T-N (mg/L),용존총질소 DTN (mg/L),질산성질소 NO₃-N (mg/L),암모니아성 질소 NH₃-N (mg/L),총인 T-P (mg/L),용존총인 DTP (mg/L),인산염 인 PO₄-P (mg/L),클로로필a Chlorophyll-a (mg/㎥),총유기탄소 TOC (mg/L),총대장균군 (총대장균군수/100㎖),분원성대장균군 (분원성대장균군수/100㎖),페놀 Phenol (mg/L),수온 (℃ ),수소이온농도 (pH ),용존산소 DO (mg/L),생물화학적산소요구량 BOD (mg/L),화학적산소요구량 COD (mg/L),부유물질 SS (mg/L),전기전도도 EC (μS/cm),총질소 T-N (mg/L),용존총질소 DTN (mg/L),질산성질소 NO₃-N (mg/L),암모니아성 질소 NH₃-N (mg/L),총인 T-P (mg/L),용존총인 DTP (mg/L),인산염 인 PO₄-P (mg/L),클로로필a Chlorophyll-a (mg/㎥),총유기탄소 TOC (mg/L),총대장균군 (총대장균군수/100㎖),분원성대장균군 (분원성대장균군수/100㎖),페놀 Phenol (mg/L)
한강,한강서해,한강서해,공촌천,,8.2,8.1,12.7,2.5,3.2,4.6,449,4.819,4.734,4.472,0.153,0.097,0.06,0.059,3.2,1.4,13000,350,0,0,0,0,0,0,0,0,0,14.1,8.5,12.1,2.6,4.3,7,430,3.616,3.528,3.355,0.093,0.196,0.164,0.159,11.2,2.3,2200,700,0,20.2,8.5,11,3.2,5.8,17,297,4.099,3.844,3.388,0.044,0.128,0.068,0.054,23.8,2.2,1700,17,0
한강,한강서해,한강서해,장수천1,,5.9,7.3,9.9,5.1,8.8,34.8,1993,7.064,6.56,2.648,3.788,0.452,0.205,0.196,7.2,3.9,35000,3500,0,0,0,0,0,0,0,0,0,13.9,7.4,10.3,5,5.6,34.4,1666,4.054,3.771,2.438,1.253,0.207,0.064,0.061,11.4,2.4,350,140,0,19.9,7.5,8.9,5.2,6.2,23.4,386,2.598,2.379,1.434,0.438,0.137,0.046,0.008,8.9,2.6,180,13,0
